2019rank,name,url,linkedin,city,state,country,phone,interview,growth,leadinvestor,july2018employees,feb2019employees,6monthincrease
46,WhiteSource Software,whitesourcesoftware.com,https://www.linkedin.com/company/white-source,New York,NY,,917.688.4142,,,83North/Microsoft,87,138,58.62%
47,Mixmax,Mixmax.com,http://www.linkedin.com/company/mixmax-inc-,San Francisco,CA,,415-212-9070,,,,34,54,58.82%
48,HouseCall Pro,housecallpro.com,https://www.linkedin.com/company/housecall,San Diego,CA,,877-944-9010,,,,113,176,55.75%
49,NinjaCat,ninjacat.io,http://www.linkedin.com/company/ninjacat,New York,NY,,(855) 646-5222,,,Bootstrapped,39,61,56.41%
50,Hiver,hiverhq.com,https://www.linkedin.com/company/grexit,Palo Alto,CA,,,,,,34,53,55.88%
51,Propellerhead Software,propellerheads.se,https://www.linkedin.com/company-beta/6428902/,Stockholm,SWE,,650.378.8537,,,,36,56,55.56%
52,ClickFunnels,clickfunnels.com,https://www.linkedin.com/company/clickfunnels,Eagle,ID,,,,,,169,259,53.25%
53,Proposify,proposify.biz,https://www.linkedin.com/company/proposify,Nova Scotia,CA,,902-441-0318,,,,40,62,55.00%
54,Culture Amp,cultureamp.com,https://www.linkedin.com/company/cultureamp,Melbourne,VIC,,415 636 8011,,,Sapphire/index,224,339,51.34%
55,Avaamo,Avaamo.com,http://www.linkedin.com/company/avaamo,Los Altos,CA,,,,,,32,49,53.13%
56,FullStory,fullstory.com,http://www.linkedin.com/company/fullstory,Atlanta,GA,,,,https://www.bizjournals.com/atlanta/news/2017/05/18/fullstory-raises-15-million-from-salesforce-plans.html,Google,96,145,51.04%
57,StreakCRM,streak.com,https://www.linkedin.com/company/streak-com,San Francisco,CA,,,,,Y Combinator,29,44,51.72%
58,AppCues,appcues.com,http://www.linkedin.com/company/appcues,Boston,MA,USA,,,,,45,68,51.11%
59,GitLab,gitlab.com,http://www.linkedin.com/company/gitlab-com,San Francisco,CA,,415.829.2854,,,,307,454,47.88%
60,ZoomInfo,zoominfo.com,http://www.linkedin.com/company/zoominfo,Waltham,MA,,781.693.7500,,,,334,492,47.31%
61,Dataiku,dataiku.com,https://www.linkedin.com/company/dataiku,Paris,FRA,,646-568-7477,,,FirstMark/Alven,158,235,48.73%
62,Recruitee,recruitee.com,https://www.linkedin.com/company/recruitee,Amsterdam,NET,,31 611-036-949,,,,33,49,48.48%
63,Talkdesk,talkdesk.com,http://www.linkedin.com/company/talkdesk,San Francisco,CA,,888-743-3044,,,Salesforce/Storm,333,482,44.74%
64,skilljar,skilljar.com,http://www.linkedin.com/company/skilljar,Seattle,WA,,,,,,49,72,46.94%
65,Yes LifeCycle Marketing,yeslifecyclemarketing.com,https://www.linkedin.com/company/yes-lifecycle-marketing,Chicago,IL,,,,,,140,204,45.71%
66,iterable,iterable.com,http://www.linkedin.com/company/iterable,San Francisco,CA,,,,http://www.startuphero.com/iterable-raises-23-million-to-help-companies-like-yelp-and-zillow-reach-users/,500 Startups/Index,135,196,45.19%
67,JumpCloud,jumpcloud.com,https://www.linkedin.com/company/jumpcloud,Boulder,CO,USA,,,,Foundry,79,115,45.57%
68,Wallarm,wallarm.com,https://www.linkedin.com/company/wallarm/,Menlo Park,CA,USA,415) 940-7077,,,Partech,37,54,45.95%
69,Pendo.io,pendo.io,http://www.linkedin.com/company/pendo-io,Raleigh,NC,,,https://www.saastr.com/saastr-podcast-118-todd-olson-founder-ceo-pendo-on-why-you-have-to-hire-for-ahead-of-where-you-are-now/,,Meritech/Battery,201,289,43.78%
70,MobileWalla,MobileWalla.com,https://www.linkedin.com/company/mobilewalla/,New York,NY,,,,,,58,84,44.83%
71,eloomi,eloomi.com,https://www.linkedin.com/company/eloomi,S,,,45 3131 6060,,,,36,52,44.44%
72,smartCat,smartcat.ai,https://www.linkedin.com/company/smartcatai/,San Francisco,CA,,,,,,82,118,43.90%
73,JotForm,jotform.com,http://www.linkedin.com/company/jotform,San Francisco,CA,,555.555.5555,,,,87,125,43.68%
74,Iluminate Education,illuminateed.com,http://www.linkedin.com/company/illuminate-education-inc.,Irvine,CA,,,,,,216,307,42.13%
75,Wishpond,wishpond.com,https://www.linkedin.com/company/wishpond,Vancouver,BC,,800-921-0167,,,,62,89,43.55%
76,ServiceTitan,ServiceTitan.com,http://www.linkedin.com/company/servicetitan,Glendale,CA,,,,,ICONIQ/Bessemer,420,586,39.52%
77,MURAL,mural.co,https://www.linkedin.com/company/mural.co/,San Francisco,CA,,,,,,77,110,42.86%
78,Serpstat,serpstat.com,https://www.linkedin.com/company/serpstat,Odesa,UKR,UKR,,,,Digital Future,63,90,42.86%
79,PandaDoc,pandadoc.com,https://www.linkedin.com/company/pandadoc,San Francisco,CA,,415-670-9712,,,Rembrandt/Altos,138,196,42.03%
80,Showpad,showpad.com,http://www.linkedin.com/company/showpad,Ghent,,,415-800-2033,,,,282,396,40.43%
81,Tailwind,tailwindapp.com,http://www.linkedin.com/company/tailwindapp,Oklahoma City,OK,,,,,,45,64,42.22%
82,Databox,Databox.com,https://www.linkedin.com/company/databoxhq,Cambridge,MA,,,,,,38,54,42.11%
83,Datadog,datadoghq.com,http://www.linkedin.com/company/datadog,New York,NY,,866-329-4466,https://www.saastr.com/saastr-podcast-117-amit-agarwal-chief-product-officer-datadog-discusses-how-why-when-to-launch-a-second-saas-product/,,ICONIQ/OpenView,688,936,36.05%
84,Mailgun,mailgun.com,https://www.linkedin.com/company/mailgun-inc,San Francisco,CA,,,,,,65,92,41.54%
85,Podium,podium.com,https://www.linkedin.com/company/repdrive,Lehi,UT,,(888) 552-7539,,http://nathanlatka.com/thetop524/,Y Combinator/Accel,310,431,39.03%
86,Guild Education,guildeducation.com,https://www.linkedin.com/company/guild-education/,Denver,CO,USA,(720) 709-2871,,,Bessemer,145,203,40.00%
87,Slidely + Promo,slide.ly,https://www.linkedin.com/company/easyhi,Tel-Aviv,ISR,ISR,,,https://www.forbes.com/sites/mnewlands/2017/06/27/how-this-ceos-video-creation-app-grew-to-9-million-arr-in-its-first-year/#583fc9adc2e9,,44,62,40.91%
88,Monday.com,monday.com,https://www.linkedin.com/company/dapulselabs,Tel Aviv,ISR,,(201) 778-4567,,,,128,179,39.84%
89,ChargeBee,Chargebee.com,http://www.linkedin.com/company/chargebee,,,,,,,,160,223,39.38%
90,Applitools,Applitools.com,https://www.linkedin.com/company/applitools/,San Mateo,CA,USA,650-288-7006,,,Sierra,68,95,39.71%
91,AirParrot,airsquirrels.com,http://www.linkedin.com/company/squirrels-llc,North Canton,OH,,855.207.0927,,,,30,42,40.00%
92,Auction.com,auction.com,https://www.linkedin.com/company/auction.com,Irvine,CA,,949-790-6400,,,,294,404,37.41%
93,WorkJam,workjam.com,https://www.linkedin.com/company/workjam,Montreal,QC,CAN,,,,,95,132,38.95%
94,Envoy,envoy.com,https://www.linkedin.com/company/we-are-envoy,San Francisco,CA,,(415) 636_6605,,,,127,176,38.58%
95,salesmanago,salesmanago.com,http://www.linkedin.com/company/salesmanago-marketing-automation,Krakow,POL,,,,,,144,199,38.19%
96,Loopio,loopio.com,https://www.linkedin.com/company/loopio,Toronto,ON,,844-456-6746,,,,72,100,38.89%
97,LogicMonitor,logicmonitor.com,http://www.linkedin.com/company/logicmonitor,Santa Barbara,CA,,805-617-3884,,,,220,302,37.27%
98,HG Data,Hgdata.com,https://www.linkedin.com/company/hg-data/,Santa Barbara,CA,,,,,,97,134,38.14%
99,Kindful,kindful.com,http://www.linkedin.com/company/trail,Nashville,TN,,888-854-0933,,,,31,43,38.71%
100,G2 Crowd,g2crowd.com,https://www.linkedin.com/company/g2-crowd/,Chicago,IL,USA,847.748.7559,,,Accel,232,317,36.64%
101,Xpenditure,xpenditure.com,https://www.linkedin.com/company/xpenditure,Mechelen,,,32 14 48 02 09,,,,131,180,37.40%
102,ClearCompany,clearcompany.com,https://www.linkedin.com/company/clearcompany-talent-management-software,Boston,MA,,617.938.3801,,,SaaS Capital,112,154,37.50%
103,Punchh,Punchh.com,https://www.linkedin.com/company/punchh-inc-,,,,,,,Cervin/Green Span,143,196,37.06%
104,Graduway,Graduway.com,https://www.linkedin.com/company/graduway,Tel-Aviv,ISR,ISR,,,,,80,110,37.50%
105,Deputy,deputy.com,https://www.linkedin.com/company/deputyapp/,Surry Hills,NSW,,61.4.2522.0047,https://www.forbes.com/sites/richwinley/2016/09/06/how-to-walk-away-from-a-job-to-chase-a-dream/#5c122cb078e5,,OpenView,198,270,36.36%
106,AgileCRM,agilecrm.com,https://www.linkedin.com/company/agile-crm,San Mateo,CA,,952-960-1377,,,,181,246,35.91%
107,Mode Analytics,modeanalytics.com,http://www.linkedin.com/company/mode-analytics,San Francisco,CA,,415.689.7436,,,,197,267,35.53%
108,TeamSupport,teamsupport.com,https://www.linkedin.com/company/teamsupport-com/,Dallas,TX,,214.556.4493,,,,38,52,36.84%
109,HG Focus,hgdata.com,http://www.linkedin.com/company/hg-data,Goleta,CA,,805-880-1100,,,,97,132,36.08%
110,GetAccept,getaccept.com,https://www.linkedin.com/company/getaccept,Palo Alto,CA,,,,,,30,41,36.67%
111,Logz.io,logz.io,http://www.linkedin.com/company/logz-io,el Aviv-Yafo,,,,,,OpenView/83North,112,152,35.71%
112,Collibra,Collibra.com,https://www.linkedin.com/company/collibra/,Brussels,BEL,,,,,,325,435,33.85%
113,IntelligenceBank DAM,intelligencebank.com,http://www.linkedin.com/company/intelligencebank-pty-ltd,Southbank,VIC,,855 241 0150,,,,33,45,36.36%
114,TapClicks,tapclicks.com,https://www.linkedin.com/company/tapclicks,San Jose,CA,,866-626-1088,,,SaaS Capital,78,106,35.90%
115,Dialpad,dialpad.com,http://www.linkedin.com/company/dialpad,San Francisco,CA,,415.579.1222,,,Amasia/GV,246,330,34.15%
116,Chargify,chargify.com,http://www.linkedin.com/company/chargify.com,San Antonio,TX,,,,,,48,65,35.42%
117,Hubstaff,hubstaff.com,https://www.linkedin.com/company/hubstaff,Indianapolis,IN,USA,,,https://hubstaff.baremetrics.com/stats/arr,,86,116,34.88%
118,FogCreek,fogcreek.com,http://www.linkedin.com/company/fog-creek-software,New York,NY,,866.364.2733,,,,60,81,35.00%
119,Smarsh,smarsh.com,https://www.linkedin.com/company/smarsh/,Portland,OR,,866.762.7741,,,,271,361,33.21%
120,Looker,looker.com,http://www.linkedin.com/company/looker,Santa Cruz,CA,,831-226-3060,,,Meritech/Kleiner,503,661,31.41%
121,Bizzabo,bizzabo.com,http://www.linkedin.com/company/bizzabo,New York,NY,,646-517-1135,,,Danny Tocatly,90,121,34.44%
122,Gusto,gusto.com,https://www.linkedin.com/company/gustohq,San Francisco,CA,,855-418-1591,,,Y Combinator/GC,625,814,30.24%
123,Umbraco,umbraco.com,https://www.linkedin.com/company/umbraco,Odense,,,45 70 26 11 62,,,,35,47,34.29%
124,Allego,allego.com,http://www.linkedin.com/company/allego-inc-,Needham,MA,,781-400-2035,,,,74,99,33.78%
125,SimScale,simscale.com,https://www.linkedin.com/company/simscale-gmbh,Bayern,GER,,903 781 1561,,,Union Square,56,75,33.93%
126,Tradeshift,tradeshift.com,http://www.linkedin.com/company/tradeshift,San Francisco,CA,,800.381.3585,,https://techcrunch.com/2016/06/09/tradeshift-raises-75m-series-d-to-expand-its-invoicing-platform-to-new-verticals/,Wipro,599,777,29.72%
127,Cogito,Cogitocorp.com,http://www.linkedin.com/company/cogito-corp-,Boston,MA,,,https://theamericanceo.com/2017/06/14/ceo-interview-joshua-feast-cogito/,,OpenView/Romulus,107,142,32.71%
128,Skillshare,skillshare.com,https://linkedin.com/company/skillshare-com,New York,NY,,,,,,215,283,31.63%
129,CloudFlare,cloudflare.com,http://www.linkedin.com/company/cloudflare-inc.,San Francisco,CA,,888-993-5273,,,NEA/Venrock,689,884,28.30%
130,Lucid Software,golucid.co,https://www.linkedin.com/company/lucidsoftware,South Jordan,UT,USA,,,2000,500 Startups/Spectrum,357,466,30.53%
131,BrightLocal,brightlocal.com,http://www.linkedin.com/company/bright-local-seo,Lewes,,,,,,,46,61,32.61%
132,Alteryx,alteryx.com,http://www.linkedin.com/company/alteryx,Irvine,CA,,714.516.2400,,,Insight/Sapphire,742,947,27.63%
133,ExecVision,execvision.com,https://www.linkedin.com/company/execvision,Arlington,VA,,,,,,31,41,32.26%
134,Practice Ignition,practiceignition.com,https://www.linkedin.com/company/practice-ignition/,Sydney,NSW,AUS,4.24E+08,,,Equity VP,31,41,32.26%
135,Virtru,virtru.com,http://www.linkedin.com/company/virtru,Washington,DC,,202.549.3328,,,Bessemer,85,112,31.76%
136,Rootstock,rootstock.com,http://www.linkedin.com/company/rootstock-software,San Ramon,CA,,888.524.0123,,,,63,83,31.75%
137,Kimble PSA,kimbleapps.com,https://www.linkedin.com/company/kimble-applications/,London,UK,,435.200.1309,,,Sussex Place,89,117,31.46%
138,LiveChat,livechatinc.com,http://www.linkedin.com/company/livechat,Boston,MA,,919-636-4677,,,,99,130,31.31%
139,Pantheon,pantheon.io,http://www.linkedin.com/company/pantheon-systems-inc,San Francisco,CA,,39 06 6830 0230,,,,130,170,30.77%
140,Webflow,webflow.com,http://www.linkedin.com/company/webflow-inc-,Alkmaar,,,855-806-6643,,,,64,84,31.25%
141,exponea,exponea.com,https://www.linkedin.com/company/exponea,London,UK,UK,44 20 3086 8894,,,LRJ Capital,178,232,30.34%
142,Pax8,pax8.com,https://www.linkedin.com/company/pax8/,Denver,CO,USA,855-884-7298,,,PV,196,255,30.10%
143,Algolia,algolia.com,https://www.linkedin.com/company/algolia,San Francisco,CA,USA,,,,Y Combinator/Accel,250,324,29.60%
144,memoQ,memoq.com,https://www.linkedin.com/company/kilgray-translation-technologies,Gyula,Bekes,,36 (1) 808-8313,,,,52,68,30.77%
145,ZAP,zapbi.com,http://www.linkedin.com/company/zapbi,London,UK,,,,,,203,263,29.56%
146,Asana,asana.com,http://www.linkedin.com/company/asana,San Francisco,CA,,415.525.3888,,,Altman/Thiel,405,519,28.15%
147,OneLogin,onelogin.com,http://www.linkedin.com/company/onelogin,San Francisco,CA,,415.645.6830,,,,200,259,29.50%
148,Thycotic Secret Server,thycotic.com,http://www.linkedin.com/company/thycotic-software-ltd,Washington,DC,,202.223.6680,,,Insight,251,324,29.08%
149,Total Expert,totalexpert.com,https://www.linkedin.com/company/total-expert/,Minneapolis,MN,USA,866-952-4606,,,Rally/Arthur,144,187,29.86%
150,Invoca,invoca.com,https://www.linkedin.com/company/invoca-com,Santa Barbara,CA,,,,,,143,185,29.37%
151,Call Box,callbox.com,http://www.linkedin.com/company/call-box-ci-,Dallas,TX,,,,,,136,176,29.41%
152,lucidworks,lucidworks.com,http://www.linkedin.com/company/lucidworks,San Francisco,CA,,120,,,,194,250,28.87%
153,CultureIQ,cultureiq.com,http://www.linkedin.com/company/cultureiq,New York,NY,,212.755.8633,,,,85,110,29.41%
154,CleverTap,clevertap.com,https://www.linkedin.com/company/clevertap/,Sunnyvale,CA,,,,,,75,97,29.33%
155,FieldEdge,fieldedge.com,https://www.linkedin.com/company/desco-llc/,Atlanta,GA,USA,8.00E+09,,,Pacific Lake,135,174,28.89%
156,DialSource,dialsource.com,https://www.linkedin.com/company/dialsource,Sacramento,CA,,,,,,34,44,29.41%
157,PagerDuty,pagerduty.com,https://www.linkedin.com/company/pagerduty,San Francisco,CA,USA,,,,Y Combinator,439,556,26.65%
158,Pipefy,Pipefy.com,https://www.linkedin.com/company/pipefy/,San Francisco,CA,,,,,,135,173,28.15%
159,Bluecore,bluecore.com,https://www.linkedin.com/company/bluecore,New York,NY,USA,,https://www.saastr.com/saastr-podcast-101-fayez-mohamood-co-founder-ceo-bluecore-on-how-to-scale-from-early-adopter-to-mass-market/,,Georgian/FirstMark,162,207,27.78%
160,Dashlane,dashlane.com,http://www.linkedin.com/company/dashlane,New York,NY,,212-929-0030,,,,129,165,27.91%
161,FreeAgent,freeagent.com,http://www.linkedin.com/company/freeagent,Morrow,GA,,201-626-5084,,,Seedrs/SaaS Capital,138,176,27.54%
162,TurnTo,turntonetworks.com,http://www.linkedin.com/company/turnto-networks,New York,NY,,800.491.7876,,,,50,64,28.00%
163,Lansweeper,lansweeper.com,https://www.linkedin.com/company/lansweeper-bvba,Grembergen,,,32-52-696-696,,,,43,55,27.91%
164,Workable,workable.com,http://www.linkedin.com/company/workable-hr,Boston,MA,,415-366-0190,,,83North/Greylock,219,277,26.48%
165,Bandwidth.com,bandwidth.com,https://www.linkedin.com/company/bandwidth-inc/,Raleigh,NC,,919-297-1100,,,,537,668,24.39%
166,Instapage,instapage.com,http://www.linkedin.com/company/instapage,San Francisco,CA,,801-938-4099,,https://growthhackers.com/articles/an-interview-with-instapage-founder-ceo-tyson-quick-podcast,,146,185,26.71%
167,SellerCloud,sellercloud.com,http://www.linkedin.com/company/sellercloud,Lakewood,NJ,,888.315.6652,,,,44,56,27.27%
168,Appypie,appypie.com,http://www.linkedin.com/company/appy-pie-inc-,WALNUT,CA,,888-322-7617,,,,74,94,27.03%
169,Mendix,mendix.com,http://www.linkedin.com/company/mendix,Boston,MA,,857.263.8200,,,Battery/Prime,407,508,24.82%
170,Arduino IDE,arduino.cc,https://www.linkedin.com/company/arduino,Somerville,MA,,,,,,109,138,26.61%
171,Odoo,odoo.com,http://www.linkedin.com/company/odoo,Brussels,BEL,,650.307.6736,,,Sofinnova,482,599,24.27%
172,Salsify,salsify.com,http://www.linkedin.com/company/salsify,Boston,MA,,844.725.7439,,,Venrock/Matrix,250,314,25.60%
173,FloQast,floqast.com,http://www.linkedin.com/company/floqast,Sherman Oaks,CA,,805-428-6467,http://www.socaltech.com/interview_with_mike_whitmire_ceo_and_co_founder_floqast/s-0069139.html,,Amplify.LA/Insight/Polaris,118,149,26.27%
174,PDFfiller,pdffiller.com,http://www.linkedin.com/company/pdffiller-com,Brookline,MA,,617.870.4200,,,Bootstrapped,316,395,25.00%
175,Price Intelligently,priceintelligently.com,https://www.linkedin.com/company/price-intelligently,Boston,MA,USA,,,,Bootstrapped,49,62,26.53%
176,Pipedrive,pipedrive.com,http://www.linkedin.com/company/pipedrive,New York,NY,,650-924-9906,,,Atomico/Storm,342,426,24.56%
177,Accurent,accruent.com,http://www.linkedin.com/company/accruent,Austin,TX,,310-526-5700,,,Sierra/InnoCal,688,844,22.67%
178,Heap,heapanalytics.com,http://www.linkedin.com/company/heap-inc-,San Francisco,CA,,415-938-9398,https://www.saastr.com/saastr-podcast-103-matin-movasatte-founder-ceo-heap-shares-why-productorganization-fit-is-key/,,,100,126,26.00%
179,Guru,guru.com,https://www.linkedin.com/company/guru-com,Pittsburgh,PA,,412.687.1316,,,August/Greylock,426,528,23.94%
180,UpCity,upcity.com,http://www.linkedin.com/company/upcity,Chicago,IL,,312-445-9615,,,,42,53,26.19%
181,ScheduleOnce,ScheduleOnce.com,https://www.linkedin.com/company/scheduleonce,,,,,,,,97,122,25.77%
182,Gradle,gradle.org,http://www.linkedin.com/company/gradleware,San Francisco,CA,,914.418.4010,,,,46,58,26.09%
183,WeTransfer,wetransfer.com,https://www.linkedin.com/company/wetransfer,,,,31 2 0810 0779,,,,130,163,25.38%
184,maropost,maropost.com,http://www.linkedin.com/company/maropost,Toronto,ON,,,,,Elephant/Highland Europe,126,158,25.40%
185,StackAdapt,stackadapt.com,http://www.linkedin.com/company/stackadapt,Toronto,ON,,800-659-2026,,,Plaza Ventures,94,118,25.53%
186,Braze,appboy.com,https://www.linkedin.com/company/braze-formerly-appboy-/,New York,NY,,,,,Battery/InterWest,272,338,24.26%
187,Clio,goclio.com,http://www.linkedin.com/company/clio---legal-practice-management-software,Burnaby,BC,,888-858-8547,,,Bessemer/Acton,287,356,24.04%
188,ActiveCampaign,activecampaign.com,https://www.linkedin.com/company/activecampaign-inc-/,Chicago,IL,,773.904.0945,,http://www.chicagotribune.com/bluesky/originals/ct-activecampaign-20-million-funding-bsi-20161011-story.html,Bootstrapped/Silversmith,270,335,24.07%
189,Aircall,aircall.io,https://www.linkedin.com/company/aircall,Paris,FRA,,(646) 776-5948,,,Balderton Capital,137,171,24.82%
190,6sense,6sense.com,http://www.linkedin.com/company/6sense,San Francisco,CA,,415-212-9225,,,,76,95,25.00%
191,LiveOps,liveops.com,http://www.linkedin.com/company/liveops,Scottsdale,AZ,,800.908.4502,,,Benchmark,520,635,22.12%
192,AppsFlyer,appsflyer.com,http://www.linkedin.com/company/appsflyer,New York,NY,,415-429-0123,,,Eight Roads/Pitango,425,521,22.59%
193,Bananatag,bananatag.com,https://www.linkedin.com/company/bananatag,Kelowna,BC,,,,,Bootstrapped,61,76,24.59%
194,Kyriba,kyriba.com,http://www.linkedin.com/company/kyriba-corporation,San Diego,CA,,858.731.7169,,,HSBC/Iris,480,586,22.08%
195,LeanData,leandatainc.com,http://www.linkedin.com/company/leandata,Sunnyvale,CA,,408.827.5326,,,Sapphire/Shasta,95,118,24.21%
196,backblaze,backblaze.com,https://www.linkedin.com/company/backblaze,San Mateo,CA,,,,,,66,82,24.24%
197,Aspire Technologies,aspiretechnology.com,http://www.linkedin.com/company/aspire-technology-limited,Sandyford,,,,,,,96,119,23.96%
198,ContractRoom,contractroom.com,http://www.linkedin.com/company/contractroom,Miami,FL,,800.950.9101,,,,37,46,24.32%
